msec	type	x_gm	y_gm
586978	Vehicle	-443.08018799999996	4563.0113
586978	Pedestrian	-445.93638300000003	4544.788869
586978	Pedestrian	-436.062529	4544.105565
586978	Pedestrian	-446.273099	4547.348068
586978	Pedestrian	-449.698227	4540.874599
586978	Pedestrian	-444.135578	4538.496399000001
586978	Pedestrian	-444.20363899999995	4537.47638
586978	Pedestrian	-433.269538	4544.628344
586978	Pedestrian	-434.099766	4543.654931
586978	Pedestrian	-427.25774299999995	4551.991497
586978	Pedestrian	-446.39844500000004	4538.49879
586978	Pedestrian	-425.54722699999996	4595.954715
586978	Pedestrian	-446.272712	4537.7396
587002	Vehicle	-442.92972000000003	4562.903622999999
587002	Pedestrian	-445.925092	4544.6899189999995
587002	Pedestrian	-436.020034	4544.088826
587002	Pedestrian	-446.278765	4547.253171
587002	Pedestrian	-449.690167	4540.769208
587002	Pedestrian	-444.10851900000006	4538.427339
587002	Pedestrian	-444.125638	4537.213865
587002	Pedestrian	-433.26193499999994	4544.602445
587002	Pedestrian	-434.105044	4543.682392000001
587002	Pedestrian	-427.24738099999996	4551.921268
587002	Pedestrian	-446.311171	4538.465712
587002	Pedestrian	-425.909887	4594.001699
587002	Pedestrian	-446.30125300000003	4537.73346
587002	Vehicle	-442.92972000000003	4562.903622999999
587002	Pedestrian	-445.925092	4544.6899189999995
587002	Pedestrian	-436.020034	4544.088826
587002	Pedestrian	-446.278765	4547.253171
587002	Pedestrian	-449.690167	4540.769208
587002	Pedestrian	-444.10851900000006	4538.427339
587002	Pedestrian	-444.125638	4537.213865
587002	Pedestrian	-433.26193499999994	4544.602445
587002	Pedestrian	-434.105044	4543.682392000001
587002	Pedestrian	-427.24738099999996	4551.921268
587002	Pedestrian	-446.311171	4538.465712
587002	Pedestrian	-425.909887	4594.001699
587002	Pedestrian	-446.30125300000003	4537.73346
587026	Vehicle	-442.794912	4562.876497
587026	Pedestrian	-445.916983	4544.593403
587026	Pedestrian	-435.978312	4544.0599170000005
587026	Pedestrian	-446.28650899999997	4547.159354
587026	Pedestrian	-449.682108	4540.663818
587026	Pedestrian	-444.08145999999994	4538.358278
587026	Pedestrian	-444.050547	4536.962159000001
587026	Pedestrian	-433.191232	4544.612107
587026	Pedestrian	-434.105182	4543.715643
587026	Pedestrian	-427.234335	4551.857719
587026	Pedestrian	-446.27783099999994	4538.455249000001
587026	Pedestrian	-425.914063	4593.9678890000005
587026	Pedestrian	-446.283276	4537.6175539999995
587051	Vehicle	-442.630742	4562.777583
587051	Pedestrian	-445.908536	4544.492865
587051	Pedestrian	-435.937391	4544.017009
587051	Pedestrian	-446.304229	4546.9870359999995
587051	Pedestrian	-449.673712	4540.5540359999995
587051	Pedestrian	-444.05327300000005	4538.286341
587051	Pedestrian	-443.97166100000004	4536.7054100000005
587051	Pedestrian	-433.137168	4544.572657
587051	Pedestrian	-434.113088	4543.725475
587051	Pedestrian	-427.204321	4551.791715
587051	Pedestrian	-446.294758	4538.485703
587051	Pedestrian	-425.481148	4596.299048
587051	Pedestrian	-446.28305300000005	4537.495631000001
587074	Vehicle	-442.47746500000005	4562.683318
587074	Pedestrian	-445.90076500000004	4544.40037
587074	Pedestrian	-435.899532	4543.983404
587074	Pedestrian	-446.32531900000004	4546.8383
587074	Pedestrian	-449.66598799999997	4540.453036
587074	Pedestrian	-444.02734100000004	4538.220158
587074	Pedestrian	-443.877614	4536.43289
587074	Pedestrian	-433.08507699999996	4544.533844
587074	Pedestrian	-434.123088	4543.710195000001
587074	Pedestrian	-427.20074400000004	4551.698566
587074	Pedestrian	-446.290116	4538.468896
587074	Pedestrian	-425.475044	4596.322495
587074	Pedestrian	-446.390251	4537.489442
587098	Vehicle	-442.328075	4562.583065999999
587098	Pedestrian	-445.89265599999993	4544.303853
587098	Pedestrian	-435.860012	4543.948251
587098	Pedestrian	-446.340657	4546.679019
587098	Pedestrian	-449.657928	4540.347646
587098	Pedestrian	-444.000281	4538.151097999999
587098	Pedestrian	-443.804567	4536.201289
587098	Pedestrian	-433.053005	4544.420738000001
587098	Pedestrian	-434.137272	4543.712674
587098	Pedestrian	-427.176088	4551.638125
587098	Pedestrian	-446.28633099999996	4538.450408
587098	Pedestrian	-425.468675	4596.346961
587098	Pedestrian	-446.390243	4537.375445000001
587098	Vehicle	-442.328075	4562.583065999999
587098	Pedestrian	-445.89265599999993	4544.303853
587098	Pedestrian	-435.860012	4543.948251
587098	Pedestrian	-446.340657	4546.679019
587098	Pedestrian	-449.657928	4540.347646
587098	Pedestrian	-444.000281	4538.151097999999
587098	Pedestrian	-443.804567	4536.201289
587098	Pedestrian	-433.053005	4544.420738000001
587098	Pedestrian	-434.137272	4543.712674
587098	Pedestrian	-427.176088	4551.638125
587098	Pedestrian	-446.28633099999996	4538.450408
587098	Pedestrian	-425.468675	4596.346961
587098	Pedestrian	-446.390243	4537.375445000001
587122	Vehicle	-442.177845	4562.487423
587122	Pedestrian	-445.884547	4544.2073359999995
587122	Pedestrian	-435.82050599999997	4543.913936999999
587122	Pedestrian	-446.356881	4546.531681
587122	Pedestrian	-443.97322199999996	4538.082037
587122	Pedestrian	-443.751334	4536.010679999999
587122	Pedestrian	-433.039562	4544.392635
587122	Pedestrian	-434.14947199999995	4543.724349
587122	Pedestrian	-427.15143099999995	4551.577684000001
587122	Pedestrian	-446.266949	4538.401522
587122	Pedestrian	-425.46230499999996	4596.371428
587122	Pedestrian	-446.378758	4537.257772999999
587146	Vehicle	-442.03129800000005	4562.39203
587146	Pedestrian	-445.876438	4544.11082
587146	Pedestrian	-435.78098200000005	4543.880379
587146	Pedestrian	-446.370726	4546.393336
587146	Pedestrian	-443.946162	4538.012977
587146	Pedestrian	-443.722144	4535.888773
587146	Pedestrian	-433.017593	4544.234122999999
587146	Pedestrian	-434.174257	4543.690076
587146	Pedestrian	-427.239887	4551.320965
587146	Pedestrian	-446.13052400000004	4538.3286
587146	Pedestrian	-425.455936	4596.395893999999
587146	Pedestrian	-446.37860199999994	4537.145939999999
587146	Vehicle	-442.03129800000005	4562.39203
587146	Pedestrian	-445.876438	4544.11082
587146	Pedestrian	-435.78098200000005	4543.880379
587146	Pedestrian	-446.370726	4546.393336
587146	Pedestrian	-443.946162	4538.012977
587146	Pedestrian	-443.722144	4535.888773
587146	Pedestrian	-433.017593	4544.234122999999
587146	Pedestrian	-434.174257	4543.690076
587146	Pedestrian	-427.239887	4551.320965
587146	Pedestrian	-446.13052400000004	4538.3286
587146	Pedestrian	-425.455936	4596.395893999999
587146	Pedestrian	-446.37860199999994	4537.145939999999
587171	Vehicle	-441.88174699999996	4562.296774
587171	Pedestrian	-445.867991	4544.010282
587171	Pedestrian	-435.74069299999996	4543.847244
587171	Pedestrian	-446.38318499999997	4546.25929
587171	Pedestrian	-443.917975	4537.941039
587171	Pedestrian	-443.691738	4535.761786
587171	Pedestrian	-432.98317000000003	4544.1290850000005
587171	Pedestrian	-434.20314	4543.650471
587171	Pedestrian	-427.506468	4550.649058
587171	Pedestrian	-446.030202	4538.182984
587171	Pedestrian	-425.449301	4596.42138
587171	Pedestrian	-446.340987	4537.021893
587195	Vehicle	-441.73400300000003	4562.2996060000005
587195	Pedestrian	-445.859882	4543.913765
587195	Pedestrian	-435.698738	4543.801609
587195	Pedestrian	-446.39000300000004	4546.136463
587195	Pedestrian	-443.890916	4537.871979
587195	Pedestrian	-443.6625480000001	4535.639879
587195	Pedestrian	-432.936703	4544.072258
587195	Pedestrian	-434.23007300000006	4543.607017
587195	Pedestrian	-427.503369	4550.546283
587195	Pedestrian	-445.901209	4538.055123
587195	Pedestrian	-425.44293200000004	4596.445847
587195	Pedestrian	-446.31522	4536.927173
587219	Vehicle	-441.5787	4562.219143
587219	Pedestrian	-445.85177300000004	4543.817247999999
587219	Pedestrian	-435.657492	4543.750519
587219	Pedestrian	-446.419317	4546.073558
587219	Pedestrian	-443.633358	4535.517972
587219	Pedestrian	-432.921149	4544.037817
587219	Pedestrian	-434.257603	4543.565568999999
587219	Pedestrian	-427.50026900000006	4550.443507999999
587219	Pedestrian	-445.77247800000004	4537.91294
587219	Pedestrian	-425.436563	4596.470313000001
587219	Pedestrian	-444.227753	4537.984441
587219	Pedestrian	-450.72003600000005	4545.118866
587219	Vehicle	-441.5787	4562.219143
587219	Pedestrian	-445.85177300000004	4543.817247999999
587219	Pedestrian	-435.657492	4543.750519
587219	Pedestrian	-446.419317	4546.073558
587219	Pedestrian	-443.633358	4535.517972
587219	Pedestrian	-432.921149	4544.037817
587219	Pedestrian	-434.257603	4543.565568999999
587219	Pedestrian	-427.50026900000006	4550.443507999999
587219	Pedestrian	-445.77247800000004	4537.91294
587219	Pedestrian	-425.436563	4596.470313000001
587219	Pedestrian	-444.227753	4537.984441
587219	Pedestrian	-450.72003600000005	4545.118866
587243	Vehicle	-441.432384	4562.218511
587243	Pedestrian	-445.843664	4543.720732
587243	Pedestrian	-435.618692	4543.698141
587243	Pedestrian	-446.42982699999993	4545.984554
587243	Pedestrian	-443.604167	4535.396065999999
587243	Pedestrian	-432.90559400000006	4544.003375
587243	Pedestrian	-434.286016	4543.505341
587243	Pedestrian	-427.49716900000004	4550.340733
587243	Pedestrian	-445.748354	4537.772601
587243	Pedestrian	-425.43019400000003	4596.49478
587243	Pedestrian	-448.47112000000004	4542.188796
587243	Pedestrian	-450.72003600000005	4545.118866
587267	Vehicle	-441.281245	4562.132640999999
587267	Pedestrian	-445.835555	4543.624215
587267	Pedestrian	-435.580053	4543.647227
587267	Pedestrian	-446.435654	4545.884156
587267	Pedestrian	-443.57497699999993	4535.2741590000005
